# SOCKS 4 HTTP ALL !! #
# LE'SSS GO!! #
91.202.240.208 # 51678
82.99.232.18 # 58689
58.65.168.136 # 3128
37.29.80.161 # 8080
46.5.252.70 # 8080
13.125.221.249 # 3128
85.216.127.189 # 3128
203.110.240.156 # 80
110.74.222.71 # 44970
103.73.74.22 # 2021
140.227.211.47 # 8080
41.190.147.158 # 54018
170.82.118.45 # 8083
118.174.196.112 # 36314
82.64.183.22 # 8080
1.4.157.35 # 46944
116.251.216.95 # 80
185.37.211.222 # 50330
82.212.62.30 # 8080
160.16.89.237 # 3128
41.78.212.62 # 8080
91.225.226.39 # 44388
175.100.72.95 # 57938
176.9.75.42 # 8080
185.170.215.228 # 80
154.72.199.202 # 41201
177.126.216.149 # 60375
185.17.196.3 # 80
139.59.116.113 # 80
161.35.70.249 # 3128
36.71.77.197 # 8080
173.254.218.201 # 3128
192.158.15.201 # 60684
178.217.172.206 # 55443
190.244.187.108 # 8085
202.212.123.44 # 80
178.236.212.179 # 53281
186.226.172.165 # 57783
213.79.122.82 # 8080
140.227.63.184 # 6000
77.38.21.239 # 8080
140.227.59.25 # 6000
143.208.59.1 # 999
202.169.229.139 # 53281
207.244.227.169 # 443
159.138.253.116 # 12345
47.241.164.222 # 12345
165.16.54.235 # 7777
201.132.155.198 # 8080
186.167.33.244 # 42550
103.1.93.184 # 55443
51.81.82.175 # 80
93.91.112.247 # 41258
216.169.73.65 # 34679
176.235.182.99 # 8080
152.70.106.209 # 8118
94.101.73.39 # 8080
113.160.224.224 # 55443
180.148.210.94 # 54794
79.143.87.117 # 9090
110.238.113.96 # 12345
190.196.176.5 # 60080
201.216.91.35 # 6666
103.107.94.225 # 52827
189.195.41.242 # 8080
109.238.222.5 # 40387
158.140.167.148 # 53281
195.225.230.50 # 8080
27.116.51.115 # 8080
81.33.4.214 # 61711
103.11.106.70 # 8181
79.143.87.138 # 9090
117.212.193.164 # 43577
177.135.25.24 # 55443
93.76.213.77 # 42803
140.227.68.59 # 6000
150.107.137.25 # 8080
59.120.147.82 # 3128
45.112.124.133 # 8080
20.86.230.162 # 8080
181.49.100.190 # 8080
195.158.7.10 # 3128
194.233.69.38 # 443
180.71.165.82 # 8080
45.32.83.209 # 8081
165.22.105.218 # 3128
80.94.229.130 # 8080
103.250.153.242 # 31382
47.75.254.142 # 8888
113.176.81.31 # 55443
20.81.62.32 # 3128
192.109.165.169 # 80
185.58.193.120 # 8118
123.58.209.200 # 8081
94.153.242.174 # 3128
45.236.152.45 # 6666
159.138.237.16 # 12345
2.59.76.233 # 53281
14.207.120.139 # 8080
77.37.131.148 # 55443
103.4.66.165 # 55443
190.7.141.66 # 47576
185.43.248.162 # 3128
187.243.250.10 # 8080
200.120.6.28 # 3128
41.217.219.53 # 31398
185.156.35.156 # 57367
62.87.151.132 # 38615
45.11.6.117 # 53281
34.138.225.120 # 8888
47.243.154.235 # 12345
89.222.182.144 # 3128
47.245.33.104 # 12345
47.243.23.114 # 8080
47.91.14.72 # 12345
47.241.250.250 # 12345
47.245.62.239 # 12345
190.152.5.126 # 53040
181.189.221.209 # 61783
62.201.228.250 # 56798
140.227.55.221 # 6000
66.42.58.208 # 8081
195.158.81.121 # 55443
37.120.192.154 # 8080
5.252.161.48 # 8080
46.4.96.137 # 3128
78.38.89.81 # 8080
88.198.50.103 # 8080
167.71.5.83 # 8080
88.198.24.108 # 8080
176.9.119.170 # 8080
173.249.30.197 # 8118
58.176.147.14 # 80
134.209.29.120 # 8080
212.77.138.161 # 41258
138.0.206.102 # 8081
3.108.154.203 # 8080
65.1.216.162 # 8080
85.216.127.186 # 3128
134.3.255.3 # 3128
47.241.210.232 # 12345
177.221.180.30 # 8081
162.243.153.187 # 3128
200.69.82.196 # 3128
194.163.132.232 # 3128
115.124.115.26 # 80
140.227.56.28 # 6000
50.233.103.190 # 80
142.54.171.186 # 3128
125.99.120.166 # 40390
217.8.51.200 # 3128
140.227.67.240 # 6000
196.15.221.201 # 80
103.22.248.59 # 61661
95.208.208.233 # 8080
90.110.19.123 # 80
128.199.214.87 # 3128
50.246.120.125 # 8080
159.65.69.186 # 9300
43.255.113.232 # 80
78.42.42.40 # 8080
217.8.51.199 # 8080
154.16.63.16 # 3128
79.110.196.66 # 45673
137.74.65.101 # 80
202.154.180.53 # 46717
51.79.143.11 # 3128
37.57.15.43 # 33761
173.246.129.9 # 80
113.160.37.152 # 53281
20.69.69.212 # 3128
005.252.161.48 # 8080
122.154.100.210 # 80
198.50.163.192 # 3129
8.210.18.83 # 8000
18.166.151.161 # 8080
47.243.128.117 # 12345
34.150.247.144 # 8888
209.97.150.167 # 8080
159.203.61.169 # 8080
102.129.249.120 # 8080
191.96.42.80 # 8080
198.199.86.11 # 3128
139.162.78.109 # 8080
182.253.235.77 # 45924
173.68.59.131 # 3128
194.233.69.90 # 443
12.156.45.151 # 80
41.59.90.92 # 80
14.97.2.104 # 80
37.44.247.93 # 80
81.18.45.36 # 3128
36.89.229.97 # 59707
46.237.255.10 # 3128
122.15.211.125 # 80
91.89.89.10 # 8080
186.148.210.135 # 8080
193.149.225.179 # 80
191.101.39.83 # 80
1.197.178.81 # 9999
1.197.203.130 # 9999
1.0.178.170 # 8080
1.198.73.172 # 9999
1.198.72.190 # 9999
1.197.204.109 # 9999
1.197.204.157 # 9999
101.255.75.125 # 45081
185.255.46.171 # 8080
185.34.52.31 # 80
188.120.232.181 # 8118
187.190.237.244 #
 9991.179.149.97 # 53243
1.10.253.224 # 8080
1.10.186.35 # 37235
1.10.188.85 # 8080
1.164.248.48 # 8080
1.193.247.119 # 9999
1.186.242.20 # 39098
1.10.188.132 # 8080
185.107.48.10 # 8080
185.34.52.31 # 80
185.108.141.74 # 8080
185.143.223.232 # 8080
185.106.138.210 # 8080
185.134.96.37 # 8081
185.14.248.98 # 8080
185.158.127.9 # 53281
1.197.10.109 # 9999
1.179.185.253 # 8080
1.10.187.61 # 34783
1.197.11.171 # 9999
1.198.41.111 # 9999
1.197.16.230 # 9999
1.197.16.4 # 9999
1.193.247.118 # 9999
185.108.141.114 # 8080
186.96.98.84 # 41078
185.121.2.31 # 8080
185.160.60.36 # 33471
185.138.69.110 # 39274
185.14.233.228 # 8080
185.159.87.249 # 54100
185.231.209.240 # 41258
1.197.11.141 # 9999
1.193.247.91 # 9999
1.197.16.110 # 9999
1.197.178.9 # 9999
1.198.72.190 # 9999
1.197.204.109 # 9999
1.197.178.182 # 9999
1.197.178.143 # 9999
185.146.1.69 # 49147
187.60.161.72 # 8081
185.151.151.166 # 3128
185.199.82.163 # 53281
185.33.34.76 # 42293
185.236.39.55 # 8080
185.189.102.153 # 48760
185.39.71.68 # 41720
1.197.178.45 # 9999
1.197.10.91 # 9999
1.197.203.142 # 9999
1.198.73.172 # 9999
1.198.73.171 # 9999
1.197.204.110 # 9999
1.197.203.128 # 9999
1.197.204.159 # 9999
185.188.218.10 # 60928
188.136.223.163 # 8888
185.194.25.77 # 8080
185.202.165.1 # 53281
185.61.92.207 # 34364
185.255.46.57 # 8080
185.200.36.216 # 8080
185.7.168.175 # 8080
1.197.203.129 # 9999
1.197.11.142 # 9999
1.197.203.186 # 9999
1.198.73.219 # 9999
1.2.169.101 # 47477
1.197.204.114 # 9999
1.197.204.157 # 9999
1.198.72.144 # 9999
185.200.37.85 # 8080
188.212.28.160 # 8080
185.255.46.13 # 53281
185.25.138.1 # 8080
185.64.18.25 # 8080
186.46.148.126 # 43190
185.247.20.254 # 45524
186.43.33.81 # 35913
1.198.72.149 # 9999
1.197.16.224 # 9999
1.197.204.119 # 9999
1.20.101.46 # 54381
1.20.207.208 # 80
1.198.72.139 # 9999
1.198.72.141 # 9999
1.198.73.33 # 9999
185.208.100.197 # 59732
188.6.197.119 # 38175
185.64.51.109 # 52043
185.44.231.2 # 34244
185.83.197.227 # 8080
187.141.164.242 # 31120
185.34.17.20 # 8888
186.46.184.182 # 8080
1.198.72.191 # 9999
1.197.178.123 # 9999
1.197.204.154 # 9999
1.20.99.44 # 32119
1.42.170.237 # 80
1.198.72.142 # 9999
1.198.72.143 # 9999
1.199.30.24 # 9999
185.3.202.47 # 39553
190.14.236.163 # 54694
186.46.120.230 # 57497
186.42.175.138 # 30928
187.162.11.94 # 3128
187.188.211.73 # 9991
186.96.114.178 # 59958
187.178.238.177 # 54340
1.198.72.195 # 9999
1.197.178.44 # 9999
1.198.73.220 # 9999
101.255.116.113 # 53281
101.108.145.8 # 8080
1.198.73.173 # 9999
1.198.72.147 # 9999
101.51.141.106 # 59932
185.9.137.233 # 53682
190.7.113.56 # 80
186.91.202.140 # 8080
186.96.120.235 # 53055
188.72.6.98 # 60952
188.92.242.180 # 52048
188.128.84.36 # 53837
188.211.226.118 # 53281
1.20.210.231 # 8080
1.197.203.140 # 9999
1.199.30.17 # 9999
101.255.56.201 # 36501
101.108.168.49 # 8080
1.198.73.179 # 9999
1.198.73.218 # 9999
101.51.59.148 # 8080
186.179.110.49 # 8181
190.7.113.58 # 80
187.163.36.54 # 35611
187.188.182.107 # 49610
190.145.148.34 # 56368
190.128.56.36 # 40952
188.129.161.55 # 36631
190.140.70.242 # 8080
1.20.98.66 # 8080
1.198.73.168 # 9999
1.20.100.165 # 61085
101.255.64.246 # 47661
102.129.249.67 # 3129
1.199.31.239 # 9999
1.198.73.99 # 9999
102.176.160.29 # 37143
190.11.31.238 # 8080
190.7.113.63 # 80
187.190.236.137 # 3128
187.191.4.88 # 8080
190.152.36.102 # 43268
190.152.39.78 # 50696
188.136.222.1 # 9090
190.152.223.2 # 34940
101.255.63.10 # 43929
1.198.73.169 # 9999
1.20.102.102 # 38816
101.255.9.99 # 8080
102.164.252.23 # 45011
1.20.207.208 # 8080
101.108.1.200 # 8080
103.108.122.167 # 53281
190.205.122.58 # 53281
191.102.70.18 # 8181
187.60.160.37 # 8081
188.187.188.237 # 63141
190.7.113.59 # 80
190.205.56.138 # 3128
188.73.8.12 # 41604
190.90.252.230 # 999
102.182.77.131 # 8080
1.199.132.141 # 9999
1.245.107.123 # 3128
103.103.33.77 # 8080
103.109.58.50 # 8080
101.109.83.202 # 40391
101.109.176.168 # 8080
103.111.55.58 # 14107
190.214.13.90 # 21776
192.141.5.50 # 8080
187.60.43.74 # 36143
190.242.98.61 # 8083
191.102.106.1 # 8181
190.7.113.62 # 80
190.107.20.206 # 43630
190.92.40.194 # 8080
103.10.54.154 # 8080
101.108.127.217 # 8080
101.108.252.58 # 8080
103.112.130.58 # 31094
103.115.100.246 # 37995
101.255.125.10 # 8080
101.255.122.73 # 8080
103.15.242.174 # 40840
190.85.115.78 # 3128
192.158.15.201 # 60684
188.120.232.181 # 8118
191.102.86.166 # 8080
191.97.2.10 # 9991
192.53.40.221 # 8080
190.149.7.211 # 38082
191.238.173.197 # 3128
103.101.233.13 # 8080
101.109.143.71 # 36127
101.109.113.168 # 80
103.122.90.182 # 53281
103.122.74.146 # 8080
101.255.64.197 # 36588
102.176.160.75 # 51067
103.15.81.226 # 34113
191.103.254.145 # 47324
195.18.33.130 # 8080
188.170.122.155 # 8080
191.96.43.58 # 3120
194.181.82.190 # 35447
193.37.192.243 # 8080
190.158.248.253 # 54425
191.96.42.86 # 3129
103.103.0.140 # 80
103.114.10.238 # 8080
103.106.114.134 # 8080
103.123.148.134 # 8080
103.134.41.58 # 8080
103.105.40.145 # 16538
103.113.192.2 # 52294
103.214.201.17 # 80
191.6.38.170 # 80
195.228.65.108 # 52378
188.186.180.135 # 8080
193.106.94.106 # 8080
194.28.222.1 # 31227
193.68.200.85 # 53658
190.7.113.54 # 80
192.162.141.149 # 3128
103.105.40.133 # 16538
103.123.66.114 # 8080
103.106.3.97 # 8080
103.123.246.66 # 8080
103.141.123.2 # 41674
103.111.219.169 # 55443
103.12.161.196 # 44318
103.226.3.29 # 8080
191.96.42.82 # 3129
188.225.179.98 # 53342
193.142.219.75 # 33940
194.8.146.167 # 59648
196.27.106.112 # 8080
190.92.72.110 # 8080
103.111.55.58 # 7244
103.135.232.2 # 8080
103.108.158.14 # 8080
103.141.123.6 # 41674
103.221.254.102 # 52975
103.122.248.50 # 8080
103.132.187.30 # 53281
103.229.84.178 # 8080
193.106.130.249 # 8080
193.200.151.69 # 55329
190.152.71.230 # 54354
193.193.71.178 # 43857
195.138.92.152 # 35245
197.159.12.167 # 30407
190.94.18.210 # 53281
103.125.216.68 # 8080
103.140.207.218 # 8080
103.126.149.98 # 8080
103.195.1.178 # 56446
103.224.185.48 # 59234
103.123.229.106 # 8080
103.15.140.121 # 44759
103.232.66.75 # 8080
193.112.190.79 # 808
194.135.246.122 # 3128
190.7.113.60 # 80
193.213.89.72 # 51024
195.62.70.22 # 8080
200.35.56.89 # 33310
191.102.95.94 # 9991
103.14.36.218 # 8080
103.199.156.25 # 40049
103.15.140.141 # 44759
103.211.8.81 # 44581
103.240.206.152 # 55740
103.135.38.55 # 8080
103.209.131.3 # 8080
103.243.132.62 # 46893
191.102.127.235 # 8080
193.56.15.139 # 80
195.9.183.26 # 8080
103.194.192.37 # 38127
103.216.82.146 # 35101
103.15.83.173 # 39803
103.214.237.134 # 53281
103.26.247.102 # 53666
103.205.128.49 # 43037
103.21.160.124 # 35101
103.243.82.198 # 37358
191.96.42.184 # 3129
200.38.16.53 # 8080
193.19.165.222 # 53281
193.85.228.178 # 43036
197.211.3.238 # 8080
103.198.172.4 # 50820
103.226.49.114 # 8080
103.216.82.198 # 46123
103.216.51.203 # 9991
103.47.93.98 # 51618
103.210.33.108 # 59417
103.220.42.185 # 58456
103.250.153.242 # 31382
193.109.41.253 # 8080
200.6.172.35 # 999
194.135.75.74 # 36055
194.107.82.170 # 8080
197.211.38.187 # 50272
103.209.65.12 # 8080
103.254.56.114 # 8080
103.233.152.140 # 8080
103.233.108.66 # 8080
103.47.94.67 # 23500
103.211.152.242 # 45343
103.229.247.202 # 37927
103.3.76.90 # 30596
200.61.10.102 # 55321
195.138.82.198 # 50309
195.171.27.244 # 3128
103.212.93.193 # 42509
103.29.90.134 # 8080
103.241.204.225 # 8080
103.240.168.138 # 60780
103.70.145.211 # 8080
103.216.82.153 # 35101
103.240.161.250 # 50812
103.47.94.38 # 8080
197.232.46.124 # 39811
195.78.93.28 # 3128
103.216.82.216 # 44529
103.46.233.214 # 82
103.249.180.71 # 8080
103.69.45.127 # 42721
103.78.12.15 # 59949
103.245.198.101 # 8080
103.241.178.58 # 57000
103.76.151.179 # 8181
200.69.81.198 # 58593
195.201.230.61 # 3128
197.156.234.164 # 8080
103.217.156.9 # 8080
103.47.237.163 # 39999
103.251.225.13 # 34052
103.75.34.121 # 38324
103.80.83.161 # 8080
103.35.64.12 # 3128
103.242.106.16 # 8080
103.84.36.130 # 8080
200.85.169.18 # 42865
195.206.42.41 # 45569
197.211.39.16 # 46626
103.22.248.59 # 43255
103.58.251.185 # 40315
103.251.58.60 # 35101
103.78.180.164 # 47975
103.81.13.153 # 57803
103.43.7.93 # 39965
103.245.188.86 # 54385
103.92.153.66 # 39792
202.138.254.106 # 61274
195.211.30.115 # 36423
197.221.85.214 # 8080
103.220.204.46 # 8080
103.72.217.173 # 31677
103.57.9.38 # 8080
103.85.217.1 # 49076
103.83.94.218 # 808
103.66.47.126 # 8080
103.25.168.22 # 60529
104.221.128.140 # 3128
202.141.248.130 # 8080
198.98.56.71 # 8080
197.245.230.122 # 35800
103.236.114.38 # 49638
103.90.44.161 # 8080
103.62.232.146 # 8080
103.98.79.225 # 39992
104.236.248.219 # 3128
103.72.216.194 # 38345
103.4.66.82 # 47268
105.22.37.2 # 61013
202.152.27.75 # 8080
202.131.234.142 # 30406
198.134.28.37 # 53802
103.246.2.166 # 8080
103.93.107.139 # 8080
103.86.142.15 # 8080
108.61.245.181 # 3128
104.248.155.150 # 8080
103.78.15.113 # 59949
103.49.230.6 # 80
105.235.197.22 # 8080
202.166.207.218 # 56576
202.29.237.250 # 8080
201.184.255.162 # 34246
103.248.14.178 # 38121
103.96.235.81 # 23500
103.94.121.27 # 60109
109.196.15.142 # 49133
105.28.113.134 # 56696
103.78.16.244 # 8080
103.87.171.241 # 57132
202.44.45.25 # 8080
202.57.47.122 # 37688
103.250.157.43 # 6666
105.112.84.91 # 8080
103.94.4.99 # 8080
110.136.119.112 # 8080
107.172.153.69 # 443
103.84.143.88 # 8080
103.9.134.17 # 65301
202.124.38.230 # 8080
202.51.106.196 # 8080
202.91.89.173 # 52906
103.30.245.197 # 443
106.14.147.184 # 3128
106.110.212.57 # 9999
110.243.25.130 # 9999
109.111.81.8 # 53281
103.84.68.149 # 8080
103.9.190.206 # 45822
202.57.37.197 # 59404
103.57.9.38 # 80
106.75.8.141 # 808
110.243.5.87 # 9999
110.16.80.106 # 8080
103.86.141.13 # 39954
103.69.220.11 # 3128
203.150.123.160 # 8080
109.167.243.35 # 42766
110.74.219.122 # 8080
110.164.73.134 # 8080
103.89.253.246 # 3128
202.93.227.14 # 53281
103.81.215.9 # 84
203.150.128.78 # 8080
109.169.14.168 # 80
110.74.222.212 # 8080
110.243.3.91 # 9999
103.89.253.247 # 3128
203.112.213.142 # 8080
103.89.253.249 # 3128
203.190.13.26 # 8080
109.188.132.86 # 8080
110.78.152.135 # 53915
110.243.5.192 # 9999
103.90.44.25 # 8080
203.150.161.191 # 8080
103.9.188.230 # 60150
109.95.255.82 # 8080
110.86.137.190 # 9999
110.74.222.212 # 80
103.98.79.66 # 39992
203.150.176.80 # 8080
110.164.101.129 # 8080
110.86.137.210 # 9999
110.86.136.53 # 9999
105.29.85.19 # 61013
203.150.182.83 # 8080
110.243.13.58 # 9999
110.86.137.47 # 9999
110.86.137.108 # 9999
108.61.96.165 # 3128
203.189.135.8 # 63141
110.243.7.116 # 9999
110.86.139.149 # 9999
110.86.137.152 # 9999
109.238.222.5 # 46238
203.80.190.162 # 8080
110.39.246.58 # 8080
112.74.212.97 # 8080
110.86.137.74 # 9999
109.69.4.162 # 63141
206.189.106.149 # 8080
110.74.222.213 # 52733
113.121.66.192 # 9999
110.86.137.88 # 9999
110.232.81.69 # 54022
206.201.6.117 # 8080
110.86.136.109 # 9999
113.124.84.39 # 9999
110.86.138.115 # 9999
110.243.15.60 # 9999
211.101.154.105 # 43598
110.86.136.22 # 9999
113.195.23.124 # 9999
110.86.139.163 # 9999
110.243.2.42 # 9999
212.49.69.67 # 8888
110.86.137.107 # 9999
113.78.254.247 # 9000
110.86.139.240 # 9999
110.243.6.10 # 9999
212.77.138.161 # 41258
110.86.139.208 # 9999
114.103.136.173 # 9999
111.125.138.164 # 60996
110.243.6.212 # 9999
213.160.150.239 # 39257
110.86.139.250 # 9999
114.233.219.133 # 8888
112.87.69.108 # 9999
110.243.7.50 # 9999
213.250.228.18 # 8080
110.86.139.64 # 9999
114.239.149.41 # 9999
113.11.94.159 # 8080
110.74.193.149 # 36328
213.6.101.174 # 23500
112.217.199.122 # 55872
114.239.250.140 # 9999
113.121.23.116 # 9999
110.86.136.223 # 9999
213.6.204.153 # 36612
113.117.30.210 # 61234
114.239.250.76 # 9999
113.121.23.51 # 9999
110.86.136.60 # 9999
217.168.76.77 # 59021
113.121.23.247 # 9999
114.30.75.214 # 48977
113.194.30.202 # 9999
110.86.138.157 # 9999
217.182.51.227 # 8080
113.121.23.36 # 9999
114.5.128.18 # 58074
113.195.171.138 # 9999
110.86.138.6 # 9999
217.182.51.230 # 8080
113.121.67.62 # 9999
115.31.142.169 # 40819
113.53.29.218 # 42193
110.86.139.188 # 9999
217.21.146.105 # 8080
113.124.86.126 # 9999
115.42.34.176 # 8088
114.239.146.195 # 9999
110.86.139.217 # 9999
113.160.227.144 # 8080
116.203.127.92 # 3128
111.92.240.134 # 47939
113.161.196.196 # 8080
112.78.160.46 # 8080
116.58.235.22 # 62225
113.194.30.32 # 9999
112.84.178.21 # 8888
117.95.199.186 # 9999
113.195.17.209 # 9999
112.87.69.36 # 9999
118.171.220.95 # 3128
113.195.21.33 # 9999
112.87.71.151 # 9999
118.174.232.209 # 8080
113.195.21.50 # 9999
112.87.71.180 # 9999
118.212.104.90 # 9999
113.195.225.117 # 9999
113.120.34.195 # 9999
118.26.170.209 # 8080
114.239.252.131 # 9999
113.121.21.100 # 9999
118.97.145.186 # 53281
114.239.252.73 # 9999
113.121.21.229 # 9999
118.99.127.116 # 3128
114.239.254.154 # 9999
113.121.66.105 # 9999
119.15.93.98 # 8080
115.42.64.226 # 8080
113.128.26.255 # 9999
119.18.154.202 # 80
116.204.180.48 # 8080
113.128.8.242 # 9999
119.235.54.3 # 8080
113.194.28.22 # 9999
120.78.225.5 # 3128
113.229.172.97 # 1080
120.83.109.131 # 9999
114.134.191.194 # 47080
114.220.16.205 # 61234
114.239.250.16 # 9999
114.239.254.232 # 9999
115.171.202.213 # 9000
116.0.5.30 # 41358
116.206.165.34 # 8080
116.212.129.58 # 53741
104.248.202.58 # 3128
109.199.133.161 # 23500
116.62.246.192 # 3128
122.5.107.47 # 9999
114.239.147.114 # 9999
117.196.238.151 # 37849
105.228.78.52 # 8080
106.111.53.83 # 9999
193.41.79.210 # 8080
195.9.61.22 # 34924
202.141.250.25 # 8080
218.91.95.25 # 9999
208.98.185.89 # 53630
202.43.112.82 # 8080
193.68.200.227 # 53658
194.79.60.240 # 38456
105.112.8.53 # 3128
110.243.20.18 # 9999
116.62.247.105 # 3128
122.5.107.53 # 9999
114.239.252.215 # 9999
117.212.94.99 # 8080
110.164.212.90 # 8080
106.42.217.228 # 9999
193.86.25.225 # 35256
2.188.164.58 # 8080
202.145.5.121 # 41472
220.158.236.40 # 3128
210.16.84.149 # 82
202.70.84.1 # 8080
194.242.98.254 # 60281
195.123.212.199 # 50377
105.27.116.46 # 35883
110.243.21.154 # 9999
117.242.36.8 # 44477
123.134.217.160 # 9999
114.239.3.239 # 9999
117.241.97.80 # 48962
110.235.250.2 # 8080
109.245.215.252 # 53281
195.206.190.165 # 8080
2.58.185.25 # 8080
210.211.18.18 # 59808
221.120.163.251 # 38024
212.154.83.126 # 35116
204.15.243.234 # 56144
194.246.105.27 # 41258
195.140.226.9 # 8080
106.42.216.15 # 9999
110.243.21.26 # 9999
118.163.96.167 # 3129
123.134.219.82 # 9999
114.34.16.64 # 8080
117.241.99.88 # 44035
110.243.0.88 # 9999
110.172.160.66 # 44096
195.211.174.36 # 56746
202.166.205.87 # 47718
212.233.114.46 # 3128
222.189.244.203 # 9999
212.95.180.50 # 53281
206.189.111.72 # 3128
194.44.160.246 # 61465
195.158.109.248 # 45678
106.51.2.158 # 808
110.39.52.10 # 45485
118.171.221.150 # 3128
123.134.221.149 # 9999
115.53.22.11 # 9999
117.91.132.160 # 9999
110.243.16.129 # 9999
110.243.28.65 # 9999
195.218.173.242 # 59964
202.166.216.249 # 23500
212.28.237.131 # 32529
222.189.245.26 # 9999
213.110.122.220 # 56871
206.189.88.212 # 3128
194.44.246.82 # 8080
195.189.71.187 # 44911
108.161.1.198 # 8080
110.77.231.184 # 80
118.174.220.133 # 50616
123.163.122.102 # 9999
116.0.2.62 # 80
117.91.255.229 # 9999
110.243.16.204 # 9999
110.243.5.120 # 9999
195.22.239.238 # 8080
202.21.101.130 # 41534
212.3.210.61 # 51895
222.189.247.127 # 9999
213.57.122.138 # 8080
207.191.15.166 # 38528
195.128.97.133 # 8080
195.209.176.2 # 8080
109.167.113.9 # 53833
110.78.145.67 # 3128
118.212.104.160 # 9999
123.163.96.158 # 9999
116.203.221.74 # 8118
118.122.124.5 # 1080
110.243.16.243 # 9999
110.243.6.126 # 9999
195.248.241.168 # 8080
202.5.56.71 # 8080
212.34.254.34 # 31956
24.241.136.242 # 59702
213.6.227.38 # 56859
212.115.236.193 # 8081
195.234.215.81 # 33932
195.239.115.106 # 44413
109.199.147.178 # 55823
110.86.137.212 # 9999
118.212.107.226 # 9999
123.163.96.235 # 9999
117.196.238.24 # 45277
118.136.216.100 # 8080
110.243.17.165 # 9999
110.86.137.162 # 9999
195.248.243.167 # 3128
202.51.106.196 # 80
213.136.69.212 # 8118
27.147.209.215 # 8080
216.255.170.14 # 48678
212.42.103.12 # 80
196.27.112.190 # 33470
197.149.186.162 # 3128
110.168.14.222 # 8080
110.86.137.228 # 9999
118.31.64.170 # 3128
123.169.34.20 # 9999
117.4.247.218 # 3128
118.171.188.216 # 3128
110.243.18.56 # 9999
110.86.137.31 # 9999
195.55.108.26 # 3128
203.130.227.189 # 8080
213.80.225.40 # 50096
27.152.90.167 # 9999
217.182.120.162 # 8080
213.21.23.98 # 53281
197.149.138.202 # 8080
198.98.55.168 # 8080
110.243.0.136 # 9999
110.86.137.30 # 9999
118.99.93.204 # 8080
123.52.97.174 # 9999
117.91.251.28 # 9999
118.173.232.68 # 35573
110.243.2.208 # 9999
110.86.138.147 # 9999
195.69.218.198 # 48961
203.166.200.145 # 8080
217.151.236.147 # 53281
27.159.164.177 # 9999
217.182.51.229 # 8080
217.182.51.228 # 8080
197.242.206.105 # 33609
199.195.248.24 # 8080
110.243.11.29 # 9999
110.86.137.40 # 9999
119.18.159.198 # 53989
124.158.167.242 # 8080
118.103.233.103 # 8080
